time,X,Y,Z,rollDeg,pitchDeg,yawDeg,alphaDeg,betaDeg
9.35858,1170.38,-178.031,-10831,-162.043,58.8843,-158.813,0.0591493,-0.0251648
9.52633,1157.54,-182.916,-10853,-163.123,57.3786,-159.564,0.0486568,-0.023191
9.69306,1143.98,-187.888,-10874.9,-163.829,56.443,-159.906,-0.48279,-0.010409
9.85972,1131.62,-192.906,-10897.5,-54.5882,77.1982,-48.9017,-32.9936,0.379184
10.0267,1124.44,-196.629,-10914.5,-12.7443,31.488,-9.55642,-77.612,-2.52756
10.194,1121.55,-198.812,-10923.7,-8.96667,23.5149,-15.9839,-76.2682,-8.76016
10.3616,1120.61,-200.589,-10929.7,-8.10145,37.2348,-28.7532,-48.9872,-11.3892
10.5282,1120.66,-202.406,-10935,-16.5543,59.4735,-51.8645,-14.378,-5.4609
10.6949,1121.1,-204.471,-10940.6,-74.9453,73.2145,-125.836,11.6845,5.74747
10.8616,1120.62,-205.949,-10946.8,-116.671,57.102,176.934,18.7617,16.3562
11.0283,1118.77,-206.005,-10952.9,-121.497,37.4779,158.484,18.8006,23.9278
11.195,1115.96,-204.49,-10958.3,-121.62,20.8632,147.671,16.3675,27.4341
11.3616,1112.61,-201.582,-10962.6,-122.267,7.60063,139.601,13.7803,26.8623
11.5293,1109.01,-197.475,-10965.7,-124.7,-2.40201,133.466,11.0683,23.0792
11.6966,1105.34,-192.429,-10967.4,-129.328,-8.73385,129.756,7.47427,17.3589
11.8633,1101.52,-186.604,-10967.7,-136.063,-10.7523,129.134,2.67447,11.3223
12.03,1097.26,-180.182,-10967.2,-143.606,-10.0383,129.582,-0.191522,6.35905
12.1967,1092.33,-173.26,-10966,-147.679,-8.5866,129.448,-1.62263,2.61436
12.3644,1086.61,-165.764,-10964.6,-147.749,-6.74863,129.14,-2.11619,-0.0746119
12.5313,1080.16,-157.726,-10963.1,-146.987,-4.96463,129.05,-2.06125,-1.54016
12.6981,1073.02,-149.106,-10961.8,-136.286,-3.78442,129.409,-1.49081,-2.18011
12.8648,1065.24,-139.909,-10960.5,-113.755,-3.79126,130.063,-0.619484,-2.06315
13.0316,1056.92,-130.078,-10959.1,-87.5623,-5.06335,130.15,-0.00214145,-1.15568
13.1983,1048.18,-119.536,-10957.5,-68.1299,-6.71083,128.766,0.420721,0.0773336
13.3659,1039.14,-108.06,-10955.7,-54.474,-7.49082,125.921,0.916828,1.04148
13.5326,1030.2,-95.6229,-10953.8,-56.0688,-6.98844,122.5,1.42754,1.08966
13.6993,1021.59,-82.0099,-10952,-61.614,-6.01849,119.251,1.38302,0.452232
13.867,1013.39,-67.1248,-10950.2,-65.8606,-5.18227,116.597,1.01119,-0.149313
14.0336,1005.64,-51.2409,-10948.5,-68.6813,-4.64014,114.136,0.993393,-0.373769
14.2004,998.865,-34.1195,-10947.1,-70.4022,-0.360221,101.485,5.87903,-0.588058
14.3679,996.951,-15.4043,-10947.3,-75.3239,8.37637,75.6891,10.1878,-1.6473
14.5348,1003.59,1.62875,-10950,-86.5819,15.741,41.1115,12.8429,-3.24043
14.7015,1017.89,11.4109,-10954.1,-100.495,15.4369,2.29052,14.3618,-4.32408
14.8682,1034.74,10.9473,-10957.4,-107.959,9.61213,-26.3489,9.8284,-4.08752
15.0352,1050.27,3.55969,-10959.4,-106.484,9.27081,-25.8112,-3.36409,-2.32042
15.202,1066.11,-3.99228,-10961.5,-95.9249,12.5773,7.10378,-30.1274,-0.502596
15.3692,1080.01,-9.17086,-10963.4,-84.0312,7.03628,43.7188,-61.2109,-1.47777
15.5363,1089.59,-11.7211,-10964.5,-78.4777,-3.03844,63.0704,-74.9685,-5.11502
15.7031,1096.33,-12.533,-10964.9,-74.249,-11.9653,65.3718,-68.0098,-9.29644
15.8698,1101.71,-12.2285,-10964.7,-66.232,-17.8671,54.0427,-46.058,-10.0401
16.0365,1106.76,-11.1225,-10963.9,-53.3157,-18.5961,33.9355,-19.0421,-5.02934
16.2031,1112.31,-9.41748,-10962.6,-36.5692,-11.5149,10.4604,5.83484,3.5966
16.3703,1118.83,-7.99034,-10961.4,-23.4667,3.00079,-10.8112,16.6119,13
16.5378,1126.07,-7.76575,-10961.4,-18.5273,21.7586,-29.3497,21.7279,20.4648
16.7045,1132.8,-8.71131,-10963.3,-26.9265,40.6466,-48.5127,26.4242,23.7042
16.8719,1138.1,-10.4067,-10966.9,-53.2655,54.8656,-76.0111,31.015,21.2164
17.0387,1141.41,-12.4934,-10971.7,-93.9504,58.5795,-113.287,32.4299,14.4378
17.2054,1142.5,-14.7422,-10976.9,-126.533,52.6009,-140.81,28.5156,6.39495
17.3721,1141.42,-16.9892,-10982.1,-147.888,43.8111,-155.448,20.8838,-0.865958
17.5387,1138.34,-19.1755,-10986.8,-161.814,36.8745,-162.312,10.545,-4.99117
17.7054,1133.7,-21.3274,-10991,-170.796,34.965,-164.72,2.44776,-5.66289
17.8721,1128.09,-23.4816,-10995.1,-176.855,34.2138,-165.63,-0.41925,-4.59103
18.0388,1121.73,-25.6392,-10999.5,-179.934,37.4234,-165.337,-3.94047,-2.83404
18.2055,1114.9,-27.7922,-11004.4,179.2,41.1759,-164.097,-5.65064,-0.920149
18.3722,1107.69,-29.995,-11010.1,-177.987,44.6394,-162.134,-6.94038,0.439767
18.5388,1100.23,-32.3271,-11016.4,-171.834,47.4653,-159.536,-7.13425,1.02155
18.7055,1092.66,-34.8719,-11023.6,-165.773,52.0048,-155.701,-9.52425,1.36182
18.8722,1085.13,-37.6924,-11031.6,-159.186,56.8641,-150.481,-11.5362,1.43347
19.0395,1077.79,-40.8385,-11040.4,-151.668,61.5451,-143.483,-13.8896,1.4044
19.2063,1070.86,-44.3047,-11050.1,-143.944,64.7025,-135.977,-14.1622,1.3234
19.3731,1064.49,-48.1056,-11060.7,-146.191,61.3771,-138.785,-6.44968,1.16074
19.5401,1058.55,-52.247,-11072,-152.694,54.8438,-145.551,1.93031,0.619912
