time,X,Y,Z,rollDeg,pitchDeg,yawDeg,alphaDeg,betaDeg
26.1381,1538.3,-523.646,-9806.84,49.1532,30.2395,-145.828,14.353,39.6904
26.3048,1536.74,-525.611,-9806.38,51.4423,31.8697,-143.069,17.1159,43.6627
26.4716,1535.33,-527.542,-9805.78,53.0019,32.9234,-140.162,20.6933,47.5157
26.6384,1534.07,-529.444,-9805.04,53.9521,33.4258,-137.243,25.0675,51.0778
26.8055,1532.95,-531.324,-9804.14,53.8109,33.4083,-134.423,30.6184,53.886
26.9727,1531.97,-533.183,-9803.08,52.6572,32.889,-131.809,36.903,55.6278
27.1393,1531.12,-535.018,-9801.87,50.5793,31.861,-129.48,43.1525,56.1245
27.3067,1530.39,-536.842,-9800.54,47.5754,30.2682,-127.464,48.6121,55.3039
27.4735,1529.79,-538.643,-9799.1,43.6893,28.0345,-125.791,52.445,53.2372
27.6402,1529.3,-540.426,-9797.58,38.9598,25.0285,-124.426,54.2279,50.0211
27.8084,1528.91,-542.208,-9796,33.4145,21.0472,-123.279,53.812,45.6742
27.9752,1528.62,-543.96,-9794.44,27.2767,15.9826,-122.228,51.1758,40.301
28.1419,1528.39,-545.7,-9792.91,20.6646,9.64988,-121.066,46.2594,33.9186
28.3089,1528.19,-547.447,-9791.45,13.7043,1.91232,-119.54,38.8497,26.6549
28.4761,1527.96,-549.218,-9790.08,6.50057,-7.23674,-117.349,29.0282,18.8653
28.6428,1527.67,-551.036,-9788.78,-0.924464,-17.6321,-114.125,17.5863,11.2342
